questionId,premise_class,f48_declared,arm_a,arm_a_prime
conv-41-q154,E+R-,incorrect,incorrect,incorrect
conv-41-q156,E+R-,incorrect,incorrect,incorrect
conv-41-q160,E+R-,incorrect,incorrect,correct
conv-41-q167,E+R-,incorrect,incorrect,incorrect
conv-41-q168,E+R-,incorrect,correct,correct
conv-41-q169,E+R-,incorrect,correct,correct
conv-41-q170,E+R-,incorrect,incorrect,incorrect
conv-41-q172,E+R-,incorrect,incorrect,incorrect
conv-41-q173,E+R-,incorrect,incorrect,incorrect
conv-41-q174,E+R-,incorrect,incorrect,incorrect
conv-41-q175,E+R-,incorrect,correct,correct
conv-41-q177,E+R-,incorrect,correct,correct
conv-41-q178,E+R-,incorrect,incorrect,incorrect
conv-41-q182,E+R-,incorrect,correct,correct
conv-41-q185,E+R-,incorrect,correct,correct
conv-41-q186,E+R-,incorrect,incorrect,incorrect
conv-41-q188,E+R-,incorrect,correct,correct
conv-41-q189,E+R-,incorrect,correct,correct
conv-41-q190,E+R-,incorrect,incorrect,incorrect
conv-42-q200,E+R-,incorrect,incorrect,correct
conv-42-q201,E+R-,incorrect,incorrect,correct
conv-42-q203,E+R-,incorrect,correct,correct
conv-42-q207,E+R-,incorrect,correct,correct
conv-42-q210,E+R-,incorrect,incorrect,incorrect
conv-42-q211,E+R-,incorrect,correct,correct
conv-42-q212,E+R-,incorrect,correct,correct
conv-42-q213,E+R-,incorrect,incorrect,incorrect
conv-42-q218,E+R-,incorrect,incorrect,incorrect
conv-42-q220,E+R-,incorrect,incorrect,incorrect
conv-42-q221,E+R-,incorrect,correct,correct
conv-42-q222,E+R-,incorrect,correct,correct
conv-42-q223,E+R-,incorrect,correct,correct
conv-42-q224,E+R-,incorrect,correct,incorrect
conv-42-q225,E+R-,incorrect,correct,correct
conv-42-q226,E+R-,incorrect,correct,correct
conv-42-q229,E+R-,incorrect,correct,incorrect
conv-42-q232,E+R-,incorrect,incorrect,incorrect
conv-42-q234,E+R-,incorrect,incorrect,incorrect
conv-42-q235,E+R-,incorrect,incorrect,incorrect
conv-42-q236,E+R-,incorrect,correct,correct
conv-42-q238,E+R-,incorrect,incorrect,incorrect
conv-42-q239,E+R-,incorrect,incorrect,incorrect
conv-42-q240,E+R-,incorrect,correct,correct
conv-42-q245,E+R-,incorrect,correct,correct
conv-42-q247,E+R-,incorrect,incorrect,incorrect
conv-42-q248,E+R-,incorrect,correct,incorrect
conv-42-q249,E+R-,incorrect,correct,correct
conv-42-q250,E+R-,incorrect,correct,incorrect
conv-42-q251,E+R-,incorrect,incorrect,incorrect
conv-42-q252,E+R-,incorrect,incorrect,incorrect
conv-42-q253,E+R-,incorrect,correct,correct
conv-42-q256,E+R-,incorrect,correct,correct
conv-42-q257,E+R-,incorrect,correct,correct
conv-43-q178,E+R-,incorrect,correct,correct
conv-43-q180,E+R-,incorrect,incorrect,correct
conv-43-q182,E+R-,incorrect,correct,correct
conv-43-q183,E+R-,incorrect,incorrect,correct
conv-43-q184,E+R-,incorrect,correct,correct
conv-43-q185,E+R-,incorrect,correct,correct
conv-43-q188,E+R-,incorrect,correct,correct
conv-43-q189,E+R-,incorrect,correct,correct
conv-43-q190,E+R-,incorrect,correct,correct
conv-43-q192,E+R-,incorrect,correct,correct
conv-43-q193,E+R-,incorrect,incorrect,incorrect
conv-43-q194,E+R-,incorrect,incorrect,incorrect
conv-43-q197,E+R-,incorrect,correct,correct
conv-43-q199,E+R-,incorrect,incorrect,incorrect
conv-43-q201,E+R-,incorrect,incorrect,incorrect
conv-43-q206,E+R-,incorrect,incorrect,incorrect
conv-43-q207,E+R-,incorrect,correct,correct
conv-43-q208,E+R-,incorrect,incorrect,incorrect
conv-43-q209,E+R-,incorrect,incorrect,incorrect
conv-43-q210,E+R-,incorrect,incorrect,correct
conv-43-q212,E+R-,incorrect,incorrect,incorrect
conv-43-q213,E+R-,incorrect,correct,correct
conv-43-q215,E+R-,incorrect,correct,correct
conv-43-q219,E+R-,incorrect,correct,correct
conv-43-q220,E+R-,incorrect,incorrect,incorrect
conv-43-q221,E+R-,incorrect,correct,correct
conv-43-q222,E+R-,incorrect,incorrect,incorrect
conv-43-q223,E+R-,incorrect,incorrect,incorrect
conv-43-q224,E+R-,incorrect,correct,correct
conv-43-q225,E+R-,incorrect,correct,correct
conv-43-q228,E+R-,incorrect,incorrect,incorrect
conv-43-q229,E+R-,incorrect,incorrect,incorrect
conv-43-q230,E+R-,incorrect,incorrect,incorrect
conv-43-q231,E+R-,incorrect,correct,correct
conv-43-q233,E+R-,incorrect,correct,incorrect
conv-43-q234,E+R-,incorrect,incorrect,incorrect
conv-43-q236,E+R-,incorrect,incorrect,incorrect
conv-43-q237,E+R-,incorrect,correct,correct
conv-43-q238,E+R-,incorrect,incorrect,incorrect
conv-43-q239,E+R-,incorrect,correct,correct
conv-43-q241,E+R-,incorrect,incorrect,incorrect
conv-44-q123,E+R-,incorrect,incorrect,incorrect
conv-44-q124,E+R-,incorrect,correct,correct
conv-44-q127,E+R-,incorrect,correct,correct
conv-44-q128,E+R-,incorrect,correct,correct
conv-44-q129,E+R-,incorrect,incorrect,incorrect
conv-44-q130,E+R-,incorrect,incorrect,incorrect
conv-44-q132,E+R-,incorrect,correct,correct
conv-44-q133,E+R-,incorrect,correct,correct
conv-44-q134,E+R-,incorrect,correct,correct
conv-44-q135,E+R-,incorrect,correct,correct
conv-44-q136,E+R-,incorrect,correct,correct
conv-44-q137,E+R-,incorrect,incorrect,incorrect
conv-44-q138,E+R-,incorrect,incorrect,incorrect
conv-44-q141,E+R-,incorrect,correct,correct
conv-44-q142,E+R-,incorrect,correct,correct
conv-44-q143,E+R-,incorrect,correct,correct
conv-44-q145,E+R-,incorrect,incorrect,incorrect
conv-44-q146,E+R-,incorrect,correct,correct
conv-44-q147,E+R-,incorrect,correct,correct
conv-44-q148,E+R-,incorrect,incorrect,correct
conv-44-q149,E+R-,incorrect,correct,correct
conv-44-q150,E+R-,incorrect,correct,correct
conv-44-q151,E+R-,incorrect,correct,correct
conv-44-q152,E+R-,incorrect,correct,correct
conv-44-q153,E+R-,incorrect,incorrect,incorrect
conv-44-q154,E+R-,incorrect,incorrect,correct
conv-44-q155,E+R-,incorrect,correct,incorrect
conv-44-q157,E+R-,incorrect,incorrect,incorrect
conv-47-q153,E+R-,incorrect,incorrect,incorrect
conv-47-q154,E+R-,incorrect,incorrect,incorrect
conv-47-q155,E+R-,incorrect,incorrect,incorrect
conv-47-q156,E+R-,incorrect,incorrect,incorrect
conv-47-q157,E+R-,incorrect,incorrect,incorrect
conv-47-q158,E+R-,incorrect,correct,correct
conv-47-q160,E+R-,incorrect,incorrect,incorrect
conv-47-q161,E+R-,incorrect,incorrect,correct
conv-47-q164,E+R-,incorrect,incorrect,incorrect
conv-47-q166,E+R-,incorrect,incorrect,incorrect
conv-47-q172,E+R-,incorrect,incorrect,incorrect
conv-47-q174,E+R-,incorrect,correct,correct
conv-47-q176,E+R-,incorrect,incorrect,incorrect
conv-47-q177,E+R-,incorrect,incorrect,incorrect
conv-47-q178,E+R-,incorrect,incorrect,incorrect
conv-47-q179,E+R-,incorrect,incorrect,incorrect
conv-47-q182,E+R-,incorrect,correct,correct
conv-47-q183,E+R-,incorrect,incorrect,incorrect
conv-47-q184,E+R-,incorrect,correct,incorrect
conv-47-q186,E+R-,incorrect,incorrect,incorrect
conv-47-q187,E+R-,incorrect,incorrect,incorrect
conv-47-q188,E+R-,incorrect,correct,incorrect
conv-48-q191,E+R-,incorrect,correct,correct
conv-48-q194,E+R-,incorrect,correct,correct
conv-48-q195,E+R-,incorrect,correct,correct
conv-48-q198,E+R-,incorrect,correct,correct
conv-48-q200,E+R-,incorrect,correct,incorrect
conv-48-q202,E+R-,incorrect,correct,incorrect
conv-48-q204,E+R-,incorrect,incorrect,correct
conv-48-q205,E+R-,incorrect,incorrect,incorrect
conv-48-q210,E+R-,incorrect,correct,incorrect
conv-48-q212,E+R-,incorrect,correct,correct
conv-48-q213,E+R-,incorrect,incorrect,incorrect
conv-48-q215,E+R-,incorrect,incorrect,incorrect
conv-48-q216,E+R-,incorrect,correct,incorrect
conv-48-q217,E+R-,incorrect,correct,correct
conv-48-q218,E+R-,incorrect,incorrect,incorrect
conv-48-q219,E+R-,incorrect,incorrect,incorrect
conv-48-q220,E+R-,incorrect,incorrect,incorrect
conv-48-q221,E+R-,incorrect,incorrect,incorrect
conv-48-q222,E+R-,incorrect,correct,correct
conv-48-q224,E+R-,incorrect,incorrect,incorrect
conv-48-q225,E+R-,incorrect,incorrect,incorrect
conv-48-q227,E+R-,incorrect,incorrect,incorrect
conv-48-q229,E+R-,incorrect,correct,correct
conv-48-q230,E+R-,incorrect,correct,correct
conv-48-q231,E+R-,incorrect,correct,correct
conv-48-q232,E+R-,incorrect,correct,correct
conv-48-q234,E+R-,incorrect,correct,correct
conv-48-q235,E+R-,incorrect,incorrect,incorrect
conv-48-q237,E+R-,incorrect,incorrect,correct
conv-48-q238,E+R-,incorrect,incorrect,incorrect
conv-49-q156,E+R-,incorrect,correct,correct
conv-49-q158,E+R-,incorrect,correct,correct
conv-49-q159,E+R-,incorrect,correct,correct
conv-49-q160,E+R-,incorrect,correct,correct
conv-49-q162,E+R-,incorrect,incorrect,incorrect
conv-49-q163,E+R-,incorrect,correct,correct
conv-49-q164,E+R-,incorrect,incorrect,incorrect
conv-49-q167,E+R-,incorrect,correct,correct
conv-49-q169,E+R-,incorrect,correct,correct
conv-49-q170,E+R-,incorrect,incorrect,incorrect
conv-49-q171,E+R-,incorrect,incorrect,incorrect
conv-49-q173,E+R-,incorrect,correct,correct
conv-49-q181,E+R-,incorrect,correct,correct
conv-49-q182,E+R-,incorrect,correct,incorrect
conv-49-q184,E+R-,incorrect,correct,correct
conv-49-q185,E+R-,incorrect,correct,correct
conv-49-q186,E+R-,incorrect,incorrect,correct
conv-49-q187,E+R-,incorrect,correct,correct
conv-49-q188,E+R-,incorrect,correct,correct
conv-49-q189,E+R-,incorrect,incorrect,incorrect
conv-49-q190,E+R-,incorrect,incorrect,incorrect
conv-49-q193,E+R-,incorrect,correct,correct
conv-50-q161,E+R-,incorrect,correct,correct
conv-50-q162,E+R-,incorrect,incorrect,correct
conv-50-q163,E+R-,incorrect,correct,correct
conv-50-q166,E+R-,incorrect,incorrect,incorrect
conv-50-q169,E+R-,incorrect,correct,correct
conv-50-q170,E+R-,incorrect,correct,correct
conv-50-q172,E+R-,incorrect,incorrect,incorrect
conv-50-q175,E+R-,incorrect,incorrect,incorrect
conv-50-q176,E+R-,incorrect,incorrect,incorrect
conv-50-q177,E+R-,incorrect,incorrect,incorrect
conv-50-q178,E+R-,incorrect,incorrect,incorrect
conv-50-q179,E+R-,incorrect,correct,correct
conv-50-q181,E+R-,incorrect,correct,correct
conv-50-q182,E+R-,incorrect,incorrect,incorrect
conv-50-q187,E+R-,incorrect,correct,correct
conv-50-q188,E+R-,incorrect,incorrect,incorrect
conv-50-q192,E+R-,incorrect,incorrect,incorrect
conv-50-q193,E+R-,incorrect,correct,correct
conv-50-q195,E+R-,incorrect,correct,correct
conv-50-q199,E+R-,incorrect,correct,correct
conv-50-q202,E+R-,incorrect,incorrect,incorrect
